"","roadtype","onewaysummary","junction","sidewalk","leftside","lanes.psv.forward","lanes.forward","lanes.backward","lanes.psv.backward","rightside","count"
"25663302","secondary Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"Lane",5
"25663572","primary Road - Cycling Allowed","One Way","no","both","None",0,3,0,0,"None",3
"25664458","unclassified Road - Cycling Allowed","One Way","no","no","Lane",0,1,0,0,"None",1
"25997267","primary Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"Lane",1
"26792457","residential Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"Track",2
"27035926","trunk Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",2
"27036047","primary Road - Cycling Allowed","Two Way","no","both","None",0,1,0,0,"None",1
"27376667","trunk Road - Cycling Allowed","One Way","no","both","Lane",0,1,0,0,"Lane",2
"27377348","unclassified Road - Cycling Allowed","One Way","no","no","None",0,2,0,0,"None",1
"30053169","residential Road - Cycling Allowed","Two Way","no","no","None",0,1,0,0,"None",1
"31012194","tertiary Road - Cycling Allowed","Two Way","no","right","None",0,1,1,0,"None",10
"31239132","primary Road - Cycling Allowed","One Way","no","both","None",0,1,0,1,"None",2
"31714669","primary Road - Cycling Allowed","One Way","no","right","None",0,1,0,0,"None",3
"31726979","trunk Road - Cycling Allowed","Two Way","no","both","None",0,2,1,1,"None",4
"31727028","trunk Road - Cycling Allowed","One Way","no","both","Track",0,2,0,0,"Track",4
"33720383","service Road - Cycling Allowed","One Way","no","no","None",0,1,0,0,"None",3
"34639887","trunk Road - Cycling Allowed","One Way","roundabout","left","Lane",0,4,0,0,"Lane",1
"34639899","trunk Road - Cycling Allowed","One Way","roundabout","left","None",0,4,0,0,"None",3
"35668532","service Road - Cycling Allowed","One Way","no","no","Lane",1,0,0,0,"Lane",1
"36990372","primary_link Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",2
"36996492","primary_link Road - Cycling Allowed","One Way","no","right","None",0,1,0,0,"None",1
"37222934","tertiary Road - Cycling Allowed","Two Way","no","both","None",0,1,1,1,"share_busway",1
"37280610","tertiary Road - Cycling Allowed","Two Way","no","both","None",0,1,0,0,"None",3
"37283365","primary Road - Cycling Allowed","Two Way","no","both","share_busway",1,1,1,0,"None",2
"37354499","tertiary Road - Cycling Allowed","One Way - Two Way Cycling","no","both","None",0,1,1,0,"Lane",2
"38081796","trunk Road - Cycling Allowed","One Way","no","both","Lane",0,2,0,0,"Lane",4
"38696931","primary Road - Cycling Allowed","Two Way","no","right","None",0,1,1,0,"None",5
"38849171","unclassified Road - Cycling Allowed","One Way","no","no","None",1,1,0,0,"None",2
"39984417","service Road - Cycling Allowed","Two Way","no","no","None",0,1,0,0,"None",2
"42279686","secondary Road - Cycling Allowed","Two Way","no","both","Track",0,1,1,0,"Track",4
"42279691","service Road - Cycling Allowed","Two Way","no","no","None",0,1,3,0,"None",1
"42721538","primary Road - Cycling Allowed","Two Way","no","no","None",0,1,1,0,"None",3
"43549285","trunk Road - Cycling Allowed","One Way","no","no","None",0,1,0,0,"None",1
"67553246","unclassified Road - Cycling Allowed","Two Way","no","both","None",1,1,1,1,"None",1
"69323268","road Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",9
"72130148","service Road - Cycling Allowed","Two Way","no","no","None",1,0,0,0,"None",21
"79612052","service Road - Cycling Allowed","Two Way","no","separate","None",0,0,0,0,"None",1
"83709119","unclassified Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"Track",1
